index,label(0=矛盾あり/1=なし),methodName,chatGPT
1,0,buffer,checkIfReaderIsBufferedReader
2,0,buffer,createBufferedWriterInstance
3,0,buffer,checkIfNullAndThrowNullPointerException
4,1,buffer,checkIfNullAndThrowNullPointerException
5,1,getRule,parseReturnStatement
6,0,getRules,getVariableNameFromReturnStatement
7,1,stop,analyzeASTOfMethod
8,0,computeHashCode,calculateHash()
9,0,validatePaths,checkPathExistence
10,1,createRegion,createThrowStatement
11,1,newSpringContextBootstrappingInitializer,createNewSpringContextBootstrappingInitializer
12,0,resolveRegistry,extractRegistryFromParserContext
13,1,cachingAnnotationsRegionBeanDefinitionRegistrar,processBeanDefinitionRegistry
14,0,getCacheConfiguration,createCacheConfiguration
15,0,getBeanClassLoader,getThisClassloader
16,1,getBeanFactory,createBeanFactoryIfNull
17,1,getEnvironment,getEnvironmentVariable
18,0,getEvaluationContext,getContextEvaluationValue
19,1,getDurableClientId,getStringVariableName
20,0,getDurableClientTimeout,getClientTimeoutOrDefault
21,1,getFreeConnectionTimeout,getIntegerVar
22,1,getIdleTimeout,getIdleTimeout
23,1,getKeepAlive,getCurrentBooleanVar
24,1,getLoadConditioningInterval,loadThisExpressionIntegerVar
25,1,getMaxConnections,getMaxConnectionsValue
26,0,getMinConnections,getMinConnections
27,0,getMultiUserAuthentication,getBooleanValue
28,0,getPingInterval,getIntervalPing
29,1,getPoolLocators,getIterableVarFromThis
30,0,getPoolServers,iterateOverThis
31,0,getPrSingleHopEnabled,getReturnValueOfBooleanVariable
32,0,getReadTimeout,ReadTimeout
33,0,getReadyForEvents,getBooleanVariable
34,1,getRetryAttempts,getIntegerVar
35,1,getServerGroup,getResult
36,0,getSocketBufferSize,getSocketBufferSize
37,1,getStatisticsInterval,Return Integer Variable from This Expression
38,0,getSubscriptionAckInterval,getIntegerVar
39,0,getSubscriptionEnabled,getSubscriptionEnabled
40,1,getSubscriptionMessageTrackingTimeout,getIntegerVar
41,0,getSubscriptionRedundancy,parseAndAnalyzeMethodContent
42,1,getThreadLocalConnections,getBooleanVar
43,1,getCacheXml,getThisResource
44,0,isClose,returnBooleanVariable
45,1,getCopyOnRead,copyOnRead
46,1,getCriticalHeapPercentage,getCriticalHeapPercentage
47,1,getDynamicRegionSupport,getDynamicRegionSupportVar
48,1,getEvictionHeapPercentage,getDynamicRegionSupportVar
49,0,getGatewayConflictResolver,getGatewayConflictResolverVarValue
50,0,getJndiDataSources,getGatewayConflictResolverVarValue
51,0,getPdxDiskStoreName,getGatewayConflictResolverVarValue
52,1,getPdxIgnoreUnreadFields,getGatewayConflictResolverVarValue
53,1,getPdxPersistent,getBooleanVariable
54,0,getPdxReadSerialized,getBooleanValueFromThis
55,0,getPdxSerializer,getPdxSerializerVar
56,1,getTransactionListeners,GetNullSafeList
57,0,getTransactionWriter,getTransactionWriterVar
58,1,isAutoStartup,getBooleanVariable
59,0,getBindAddress,findBindAddress
60,1,getHostnameForClients,The method name for the given content can be: "getHostnameForClients".
61,0,getInterestRegistrationListeners,setVar
62,1,getLoadPollInterval,getLoadPollIntervalOrDefault
63,0,getMaxConnections,getMaxConnections
64,0,getMaxMessageCount,GetDefaultMaxMessageCount
65,0,getMaxThreads,calculateMaxThreads
